Family	Count	Hits	TotMarkerLength
1001733947|WP_061284984_1|AY026417_1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	0.0	0	8
1005295249|WP_061586512_1|KY073238_1|1|1|qnrE1|qnrE||quinolone_resistance_pentapeptide_repeat_protein_QnrE1	0.0	0	59
1011934720|WP_062743204_1|AY077733_1|1|1|blaERP-1|blaERP|hydrolase|class_A_extended-spectrum_beta-lactamase_ERP-1	0.0	0	171
1011965783|WP_062771895_1|KM087856_1|1|1|blaDHA-22|blaDHA|hydrolase|class_C_beta-lactamase_DHA-22	0.0	0	33
1020271597|WP_063266839_1|HQ709169_1|1|1|blaLEN-25|blaLEN|hydrolase|class_A_beta-lactamase_LEN-25	0.0	0	33
1022660303|WP_063417273_1|KM087851_1|1|1|blaMIR-15|blaMIR|hydrolase|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	0.0	0	33
1024365516|WP_063501636_1|KF414089_1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	0.0	0	34
1025836204|WP_063569909_1|HE614014_2|1|1|blaOXA-258|blaOXA-PR|hydrolase|class_D_beta-lactamase_OXA-258	0.0	0	41
1027912433|WP_063796790_1|AM709783_1|1|1|erm(Z)|erm(Z)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(Z)	0.0	0	96
1028074075|WP_063838852_1|AF355189_1|1|2|aac(3)-Ib|aac(3)-I|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-Ib	0.0	0	34
1028074076|WP_063838853_1|AJ584652_2|1|2|aac(6_)-30|aac(6_)-30|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-30	0.0	0	20
1028078994|WP_063839875_1|AY740681_1|1|2|ant(3__)-I|ant(3__)-I|nucleotidyltransferase|ANT(3__)-I_family_aminoglycoside_nucleotidyltransferase	0.0	3	91
1028078996|WP_063839877_1|EU408352_1|1|2|blaOXA-PR|blaOXA-PR|hydrolase|class_D_beta-lactamase	0.0	0	300
1028078997|WP_063839878_1|AF453998_2|1|2|ant(3__)-Ih|ant(3__)-Ih|nucleotidyltransferase|aminoglycoside_nucleotidyltransferase_ANT(3__)-Ih	1.5352968586035094	36	33
1028078998|WP_063839879_1|NUUO01000028_1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	0.0	0	102
1028078999|WP_063839880_1|AY453162_1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	0.0	0	34
1028079000|WP_063839881_1|AB669090_1|1|1|aac(2_)-IIa|aac(2_)-IIa|acetyltransferase|kasugamycin_N-acetyltransferase_AAC(2_)-IIa	0.0	0	130
1028080873|WP_063840256_1|AF318077_1|1|1|aac(3)-I|aac(3)-I|acetyltransferase|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase	0.0	0	22
1028080877|WP_063840260_1|FN640465_1|1|1|aac(3)-I|aac(3)-I|acetyltransferase|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase	0.0	0	83
1028080878|WP_063840261_1|X55652_1|1|1|aac(3)-IIIa|aac(3)-IIIa|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-IIIa	0.0	0	151
1028080880|WP_063840263_1|L06161_1|1|1|aac(3)-IIIc|aac(3)-IIIc|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-IIIc	0.0	0	15
1028080885|WP_063840268_1|X01385_1|1|1|aac(3)-IVa|aac(3)-IVa|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-IVa	0.0	0	152
1028080886|WP_063840269_1|M55427_1|1|1|aac(3)-IXa|aac(3)-IXa|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-IXa	0.0	0	105
1028080887|WP_063840270_1|AJ843080_1|1|1|aac(3)-VIII|aac(3)-VIII|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-VIII	0.0	0	33
1028080888|WP_063840271_1|AJ748131_1|1|1|aac(3)-VIII|aac(3)-VIII|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-VIII	0.0	0	56
1028080889|WP_063840272_1|M22999_1|1|1|aac(3)-VIIa|aac(3)-VIIa|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-VIIa	0.0	12	42
1028080890|WP_063840273_1|M88012_1|1|1|aac(3)-VIa|aac(3)-VIa|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-VIa	0.0	0	206
1028080891|WP_063840274_1|AY289608_1|1|1|aac(6_)-I30|aac(6_)_Ia_fam|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-I30	0.0	0	102
1028080892|WP_063840275_1|EU912537_1|1|1|aacA40|aacA40|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AacA40	0.0	0	44
1028080893|WP_063840276_1|L06163_1|1|1|aac(6_)-IIb|aac(6_)-II|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-IIb	0.0	0	44
1028080894|WP_063840277_1|AB119105_1|1|1|aac(6_)-Iad|aac(6_)-Iad|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-Iad	0.0	0	93
1028080895|WP_063840278_1|AB462903_1|1|1|aac(6_)-Iaf|aac(6_)_Ia_fam|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-Iaf	0.0	0	68
1028080896|WP_063840279_1|EU886977_1|1|1|aac(6_)-Iai|aac(6_)_Ia_fam|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AAC(6_)-Iai	0.0	0	94
1028080940|WP_063840323_1|L29510_1|1|1|aac(6_)-Ik|aac(6_)_Acine|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-Ik	0.0	0	20
1028080941|WP_063840324_1|GQ856540_1|1|1|aac(6_)-Il|aac(6_)-Il|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-Il	29.77782790844313	154	130
1028080944|WP_063840327_1|AF031326_1|1|1|aac(6_)-Ir|aac(6_)_Acine|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-Ir	0.0	0	68
1028080945|WP_063840328_1|AF031327_1|1|1|aac(6_)-Is|aac(6_)_Acine|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-Is	0.0	0	33
1028080946|WP_063840329_1|AF031328_1|1|1|aac(6_)-It|aac(6_)_Acine|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-It	0.0	0	68
1028080947|WP_063840330_1|AF031332_1|1|1|aac(6_)-Ix|aac(6_)_Acine|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6_)-Ix	0.0	0	9
1028080949|WP_063840332_1|DQ302723_1|1|1|aacA37|aacA37|acetyltransferase|aminoglycoside_6_-N-acetyltransferase_AacA37	0.7754024538401562	7	87
1028081032|WP_063840415_1|DQ778997_1|1|1|aadA11|aadA11|nucleotidyltransferase|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA11	0.0	0	33
1028081033|WP_063840416_1|FJ460181_2|1|1|aadA17|ant(3__)-Ia|nucleotidyltransferase|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA17	16.67115275756336	162	67
1028081053|WP_063840436_1|EF051038_1|1|1|aadA21|aadA21|nucleotidyltransferase|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA21	7.463248618211504	21	9
1028081058|WP_063840441_1|AF047479_2|1|1|aadA3|aadA3|nucleotidyltransferase|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA3	12.79414048836256	5	33
1028081061|WP_063840444_1|AY138986_1|1|1|aadA4|aadA4|nucleotidyltransferase|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA4	0.0	0	11
1028081072|WP_063840455_1|AB114632_1|1|1|aadA7|aadA7|nucleotidyltransferase|ANT(3__)-Ia_family_aminoglycoside_nucleotidyltransferase_AadA7	0.0	1	75
1028081078|WP_063840461_1|AB121443_1|1|1|ant(4_)-Ia|ant(4_)-Ia|nucleotidyltransferase|aminoglycoside_O-nucleotidyltransferase_ANT(4_)-Ia	0.0	0	34
1028081080|WP_063840463_1|U10250_1|1|1|blaCMY-FOX|blaCMY-FOX|hydrolase|FOX_MOX_family_class_C_beta-lactamase	0.0	0	51
1028081083|WP_063840466_1|DQ022079_1|1|1|bla-C|bla-C|hydrolase|class_C_beta-lactamase	0.0	0	33
1028081125|WP_063840508_1|M98270_1|1|1|ant(4_)-IIa|ant(4_)-IIa|nucleotidyltransferase|aminoglycoside_nucleotidyltransferase_ANT(4_)-IIa	0.0	0	208
1028081126|WP_063840509_1|AY114142_1|1|1|ant(4_)-IIb|ant(4_)-IIb|nucleotidyltransferase|aminoglycoside_nucleotidyltransferase_ANT(4_)-IIb	0.0	3	193
1028081339|WP_063840673_1|M69221_1|1|1|ant(9)-Ib|ant(9)-Ib|nucleotidyltransferase|aminoglycoside_nucleotidyltransferase_ANT(9)-Ib	0.0	0	243
