Shortbred_ID	ShortBRED_ARG_Family_Name	DbAcc_ID	Db_Name	Marker_Source	Product_Name	Description	Seq_Type	Database_Source	AMR_Family	AMR_Class	Drug_Targets	AMR_Mechanism	ShortBRED_Analysis	TD_Analysis
MF0001	1001733947|WP_061284984_1|AY026417_1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	WP_061284984.1	NCBI-AMR	ARDatabase	blaKLUC	class A extended-spectrum beta-lactamase KLUC-1	Protein	NCBI-AMR	KLUC_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0002	1005295249|WP_061586512_1|KY073238_1|1|1|qnrE1|qnrE||quinolone_resistance_pentapeptide_repeat_protein_QnrE1	WP_061586512.1	NCBI-AMR	ARDatabase	qnrE	quinolone resistance pentapeptide repeat protein QnrE1	Protein	NCBI-AMR	qnrE_Quinolone_resistance_protein	Quinolone_resistance_protein	Fluoroquinolones	Antibiotic_target_protection	Yes	Yes
MF0003	1011934720|WP_062743204_1|AY077733_1|1|1|blaERP-1|blaERP|hydrolase|class_A_extended-spectrum_beta-lactamase_ERP-1	WP_062743204.1	NCBI-AMR	ARDatabase	blaERP	class A extended-spectrum beta-lactamase ERP-1	Protein	NCBI-AMR	ERP_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0004	1027912433|WP_063796790_1|AM709783_1|1|1|erm(Z)|erm(Z)|target_modification|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(Z)	WP_063796790.1	NCBI-AMR	ARDatabase	Erm	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(Z)	Protein	NCBI-AMR	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF0005	1028078994|WP_063839875_1|AY740681_1|1|2|ant(3__)-I|ant(3__)-I|nucleotidyltransferase|ANT(3__)-I_family_aminoglycoside_nucleotidyltransferase	WP_063839875.1	NCBI-AMR	ARDatabase	"ANT(3"")"	bifunctional aminoglycoside nucleotidyltransferase ANT(3'')-Ij/aminoglycoside N-acetyltransferase AAC(6')-Ib	Protein	NCBI-AMR	ANT3_dprime	Aminoglycoside_nucleotidyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0006	1028078998|WP_063839879_1|NUUO01000028_1|1|1|BcII|BcII|hydrolase|BcII_family_subclass_B1_metallo-beta-lactamase	WP_063839879.1	NCBI-AMR	ARDatabase	bla2	BcII family subclass B1 metallo-beta-lactamase	Protein	NCBI-AMR	Bc_beta_lactamase	Class_B_beta_lactamase_Subclass_B1	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF0007	1028079000|WP_063839881_1|AB669090_1|1|1|AAC(2_)-IIa|AAC(2_)-IIa|acetyltransferase|kasugamycin_N-acetyltransferase_AAC(2_)-IIa	WP_063839881.1	NCBI-AMR	ARDatabase	AAC(2')	kasugamycin N-acetyltransferase AAC(2')-IIa	Protein	NCBI-AMR	AAC2_prime	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0008	1028080877|WP_063840260_1|FN640465_1|1|1|AAC(3)-I|AAC(3)-I|acetyltransferase|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase	WP_063840260.1	NCBI-AMR	ARDatabase	AAC(3)	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	Protein	NCBI-AMR	AAC3	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0009	1028080885|WP_063840268_1|X01385_1|1|1|AAC(3)-IVa|AAC(3)-IVa|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-IVa	WP_063840268.1	NCBI-AMR	ARDatabase	AAC(3)	aminoglycoside N-acetyltransferase AAC(3)-IVa	Protein	NCBI-AMR	AAC3	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF0010	1028080887|WP_063840270_1|AJ843080_1|1|1|AAC(3)-VIII|AAC(3)-VIII|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-VIII	WP_063840270.1	NCBI-AMR	ARDatabase	AAC(3)	aminoglycoside N-acetyltransferase AAC(3)-VIII	Protein	NCBI-AMR	AAC3	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
